Cycle start time,Cycle end time,Cycle timezone,Sleep onset,Wake onset,Sleep performance %,Respiratory rate (rpm),Asleep duration (min),In bed duration (min),Light sleep duration (min),Deep (SWS) duration (min),REM duration (min),Awake duration (min),Sleep need (min),Sleep debt (min),Sleep efficiency %,Sleep consistency %,Nap
2024-03-12 00:12:30,2024-03-13 01:39:30,UTC-07:00,2024-03-12 00:12:30,2024-03-12 09:29:35,100,12.5,526,557,213,133,180,31,506,31,94,61,false
2024-03-11 00:17:45,2024-03-12 00:12:30,UTC-07:00,2024-03-11 00:17:45,2024-03-11 08:09:45,90,12.8,424,471,214,77,133,47,473,11,90,44,false
2024-03-10 01:11:38,2024-03-10 23:17:45,UTC-08:00,2024-03-10 01:11:38,2024-03-10 12:47:50,97,12.6,524,696,190,142,192,151,542,52,75,49,false
2024-03-09 00:45:58,2024-03-10 01:11:38,UTC-08:00,2024-03-09 00:45:58,2024-03-09 08:02:53,79,13.3,399,436,198,76,125,37,504,39,91,66,false
2024-03-07 23:54:10,2024-03-09 00:45:58,UTC-08:00,2024-03-07 23:54:10,2024-03-08 07:59:38,88,12.3,441,485,193,87,161,44,502,37,90,56,false
2024-03-07 01:30:32,2024-03-07 23:54:10,UTC-08:00,2024-03-07 01:30:32,2024-03-07 10:45:14,90,12.8,516,550,206,101,209,34,575,113,94,66,false
2024-03-06 03:12:47,2024-03-07 01:30:32,UTC-08:00,2024-03-06 03:12:47,2024-03-06 08:25:42,55,12.0,280,312,110,77,93,32,507,44,90,61,false
2024-03-05 02:38:38,2024-03-06 03:12:47,UTC-08:00,2024-03-05 02:38:38,2024-03-05 10:57:05,87,12.3,468,495,155,100,213,27,536,74,95,74,false
2024-03-04 02:24:05,2024-03-05 02:38:38,UTC-08:00,2024-03-04 02:24:05,2024-03-04 08:09:40,68,12.8,317,345,134,85,98,28,465,0,92,53,false
2024-03-03 03:30:07,2024-03-04 02:24:05,UTC-08:00,2024-03-03 03:30:07,2024-03-03 11:30:07,,,,,,,,,,,,,false
2024-03-02 01:40:51,2024-03-03 03:30:07,UTC-08:00,2024-03-02 01:40:51,2024-03-02 10:29:35,100,12.3,489,528,169,142,178,39,479,13,93,71,false
2024-03-01 02:02:06,2024-03-02 01:40:51,UTC-08:00,2024-03-01 02:02:06,2024-03-01 10:34:00,96,12.3,490,511,152,123,215,21,511,35,95,53,false
2024-02-28 23:57:44,2024-03-01 02:02:06,UTC-08:00,2024-02-28 23:57:44,2024-02-29 08:31:05,90,13.0,467,511,258,81,128,44,522,39,91,42,false
2024-02-28 00:14:04,2024-02-28 23:57:44,UTC-08:00,2024-02-28 00:14:04,2024-02-28 08:01:47,88,12.4,430,466,198,102,130,36,492,30,92,41,false
2024-02-27 02:55:47,2024-02-28 00:14:04,UTC-08:00,2024-02-27 02:55:47,2024-02-27 11:48:21,91,13.1,497,532,269,114,114,35,545,122,93,52,false
2024-02-26 03:47:51,2024-02-27 02:55:47,UTC-08:00,2024-02-26 10:40:14,2024-02-26 11:40:14,9,14.6,51,60,36,0,15,9,583,122,92,,true
2024-02-26 03:47:51,2024-02-27 02:55:47,UTC-08:00,2024-02-26 03:47:51,2024-02-26 08:09:48,50,12.9,243,261,103,64,76,18,488,127,93,38,false
2024-02-25 09:01:38,2024-02-26 03:47:51,UTC-08:00,2024-02-25 20:20:40,2024-02-25 22:20:40,17,13.0,101,120,49,24,28,19,589,127,88,,true
2024-02-25 09:01:38,2024-02-26 03:47:51,UTC-08:00,2024-02-25 09:01:38,2024-02-25 12:32:38,43,12.1,196,210,76,43,77,14,461,0,95,32,false
2024-02-24 01:59:34,2024-02-25 09:01:38,UTC-08:00,2024-02-24 01:59:34,2024-02-24 11:39:15,100,12.8,555,579,348,80,127,24,514,46,95,75,false
2024-02-23 03:53:39,2024-02-24 01:59:34,UTC-08:00,2024-02-23 03:53:39,2024-02-23 11:29:48,82,12.3,425,456,136,81,208,31,519,36,93,66,false
2024-02-22 02:54:23,2024-02-23 03:53:39,UTC-08:00,2024-02-22 02:54:23,2024-02-22 10:01:16,84,12.6,392,426,191,65,136,34,466,86,92,69,false
2024-02-21 02:36:24,2024-02-22 02:54:23,UTC-08:00,2024-02-21 09:20:18,2024-02-21 11:40:18,18,13.7,99,140,62,18,19,41,545,86,71,,true
2024-02-21 02:36:24,2024-02-22 02:54:23,UTC-08:00,2024-02-21 02:36:24,2024-02-21 08:10:56,63,12.2,295,334,117,67,111,39,467,1,88,61,false
2024-02-20 02:30:27,2024-02-21 02:36:24,UTC-08:00,2024-02-20 02:30:27,2024-02-20 11:05:14,100,13.2,462,509,185,111,166,47,465,0,91,57,false
2024-02-18 22:15:52,2024-02-20 02:30:27,UTC-08:00,2024-02-18 22:15:52,2024-02-19 12:31:28,100,13.4,729,855,451,129,149,126,465,0,85,37,false
2024-02-18 03:46:31,2024-02-18 22:15:52,UTC-08:00,2024-02-18 03:46:31,2024-02-18 13:20:41,100,12.6,539,572,166,136,237,33,342,0,95,39,false
2024-02-17 01:29:47,2024-02-18 03:46:31,UTC-08:00,2024-02-17 15:35:15,2024-02-17 17:55:15,26,13.9,118,140,39,37,42,22,461,0,95,,true
2024-02-17 01:29:47,2024-02-18 03:46:31,UTC-08:00,2024-02-17 01:29:47,2024-02-17 11:48:53,100,13.5,558,619,306,89,163,61,483,19,91,80,false
